show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s4518,Movie,DON'T FORGET YOU'RE GOING TO DIE,Xavier Beauvois,Xavier Beauvois Chiara Mastroianni  Roschdy Zem,,,1995,R,117 min,Drama,"Benoit has his life planned. But he forgot his military duty. He tries to get out with a psychiatrist, then suicide. He is then told he is HIV positive. Along the way he meets Claudia.",amazon,"6,5"
s4519,Movie,DIARY OF A CHAMBERMAID,Luis Bunuel,"Jeanne Moreau, Georges Geret, Michel Piccoli",,,1964,PG,97 min,International,"A true French classic from legendary Oscar winning director Luis Bunuel. Celestine, the chambermaid, has a new job in the country. The Monteils, who she works for are a strange group with many problems and fetishes.",amazon,7.4
s4520,Movie,CLIMAX,K Bhavani Shanker,"G B Rajendra Prasad, Sasha Singh, Pridhvi",,,2021,13+,77 min,"Comedy, Drama","Multimillionaire Vijay Modi, absconding with hundreds of crores of embezzled money is now brutally murdered in an upscale 7 Star hotel Suite room. He spent the previous night with a gorgeous looking , Navya after offering her a crore of rupees. Navya who accepted the offer after her dire needs becomes the prime suspect now.",amazon,
s4521,Movie,BURNT OUT,Fabienne Godet,"Marion Cotillard, Dominique Blanc, Julie Depardieau",,,2005,PG-13,87 min,"Drama, International","Marion Cotillard leads a stellar cast in this award winning drama. Disheartened after a shocking event that took place in his firm, a compliant and committed employee loses the ground under his feet and revolts.",amazon,"6,2"
s4522,Movie,Blame it On Fidel,Julie Gavras,"Nina Kerval-Bey, Julie Depardieu, Stefano Accorsi",,,2007,PG-13,99 min,Drama,A 9-year-old girl weathers big changes in her household as her parents become radical political activists in 1970-71 Paris.,amazon,
s4523,Movie,ALL FIRED UP,Jean-Paul Rappeneau,"Yves Montand, Isabelle Adjan, Lauren Hutton",,,1982,PG-13,103 min,International,"Victor (Montand) is an absent father and gambler, he comes home in need of money to cover his gambling debts. His daughter thwarts his plans. But when she realizes gangsters are looking for him, her attitude changes.",amazon,"6,1"
s4524,Movie,A Shot In The Dark,,"Joaquim de Almeida, Vanessa Mesquita, Filipe Duarte",,,2013,18+,1 min,Action,"A baby is kidnapped in a Brazilian airport. Years later, the mother lives in Lisbon and works in a strip-tease bar so she can survive. When she is fired, she joins a gang of bank robbers...",amazon,
s4525,Movie,A NIGHT IN VERSAILLES,Bruno Podalydes,Denis Podalydes Isabelle Candalier Phillipe Uchan,,,1992,PG-13,45 min,"Comedy, International","Arnaud has planned a quiet, romantic dinner with a pretty woman at his apartment. He is a mild-mannered young man and has charms.His well planned dinner is interrupted by his brother and a group of visitors.",amazon,6.9
s4526,Movie,Tru Love,"Shauna MacDonald, Kate Johnston","Shauna MacDonald, Kate Trotter, Christine Horne",,,2014,16+,88 min,"Arthouse, LGBTQ, Romance","A widow, recovering from the death of her husband, comes to the big city to spend time with her busy professional daughter. Instead, she forges and unlikely relationship with a commitment-phobic lesbian who has a past with her daughter.",amazon,
s4527,Movie,The Bid,"Richard Harris, Maurquis Boone","Richard Harris, Maurquis Boone, Carlos Davis, Allen Sherrod, Thomas Ames, Jose Carrasquillo",,,2021,18+,90 min,Comedy,"In this hilarious comedy starring Maurquis Boone and Richard Harris, two Philadelphia rappers gets framed by an overzealous police officer. The duo are sent to prison and are forced to fight the unjust system from behind bars.",amazon,4.1
s4528,Movie,Tabù,F.W. Murnau,"Matahi, Anne Chevalier, Bill Bambridge, Hitu",,,1930,13+,78 min,Romance,"On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",amazon,
s4529,Movie,Revisitant,Jon Binkowski,"Lisa Enos Smith, Tracy Wiu, Sally Glaner, Jade Rattigan, Michele Sims, Marc Musso",,,2021,16+,100 min,Horror,A victim plagued with paranormal attacks passes an evil entity on to a single mother and her two teenage daughters.,amazon,
s4530,Movie,Remember Pearl Harbor,Tim Gray,Tom Selleck,,,2016,18+,82 min,Documentary,"Narrated by actor Tom Selleck, Remember Pearl Harbor chronicles the personal stories of veterans and citizens who witnessed the surprise attack by the Japanese on the American Pacific Fleet on December 7, 1941. The film documents the 75th anniversary, the tragic events and the courageous acts of those who were in or near Pearl Harbor on that day.",amazon,"8,6"
s4531,Movie,Red Ribbon Blues (Restored),Charles Winkler,"Paul Mercurio, Debi Mazar, RuPaul, John Epperson, Lisa Waltz, Leland Orser",,,1996,18+,98 min,"Comedy, Drama, LGBTQ","After attending 23 funerals, Troy and his friends are tired of seeing members of their community dying of AIDS after being denied the medication they need by the big drug companies. The group plans a heist to steal the medication and start a community drug distribution program. Most importantly, these activists pose the question: how far would you go to stay alive?",amazon,
s4532,Movie,Raasi,Muraliappas,"Ajith Kumar, Rambha, Prakash Raj, Vadivelu",,,1997,ALL,143 min,"Drama, Romance","Kumar, a young man, falls in love with Meena, his uncle's daughter. Complications come to light when he is unable to shell out enough money for an important occasion.",amazon,
s4533,Movie,One of Her Own,Armand Mastroianni,"Martin Sheen, Lori Loughlin, Greg Evigan, Reginald VelJohnson, Rhoda Griffis",,,1994,,88 min,Drama,"Toni Stroud, a trainee police officer, is raped by a colleague. When he's accused of rape by someone else, she goes to her superiors about it. Instead of taking action against him, they retaliate by firing her, and then close ranks around the rapist. Meanwhile, Toni is subjected to relentless bullying and vandalism. She takes action against the rapist and her former bosses, but will she prevail?",amazon,"6,0"
s4534,Movie,My Month with Mrs Potter,Christopher Norton,"Frankie Fairbrass, Jane Hayward, Daisy Tonge",,,2019,13+,88 min,Drama,"Ryan a small time criminal on the run , is caught breaking into a cottage by its owner Mrs Potter; a bitter, unsociable and self isolated old lady, who has just been given a month to live. Although from very different worlds, the two realise they can help each other and agree to spend the month together; it's a hasty decision that turns into the most extraordinary month of both their lives.",amazon,
s4535,Movie,Learning & Early Education For Kids,,,,,2021,ALL,29 min,Kids,Learn the basics in early learning in a fun and enjoyable way.,amazon,
s4536,Movie,Kylie Minogue: Showtime,Billy Simpson,"Ashley Pearson, Dean Piper, Kirsty Tyler, George Kimpson",,,2016,7+,61 min,Documentary,"Kylie Minogue has been a household name for over the last three decades, she is a true showbiz product and an incredibly successful woman. Join Kylie and discover her incredible journey. It is time for Showtime.",amazon,
s4537,Movie,Error In Judgement,Scott P. Levy,"Joanna Pacula, Joe Mantegna, Lee Sung Hi, Kate Jackson, Paul Dooley, David Millbern, Jessica Hopper, Michael Sutton, Ric Sarabia, David Parry, Mike Kimmel, Grgoery Daven, Sonia Jackson, Kevin Dailey, Candace Carnicelli",,,1999,18+,93 min,Suspense,"An art dealer's gallery gets revitalized when he hires a new, energetic young artist. Unknown to him, she is a psychiatric patient of his wife, and this begins to put strain on his marriage as employer and employee grow closer.",amazon,"4,8"
s4538,Movie,Cut the Rope: Om Nom Stories - Holiday Specials,Zeptolab,"Cut the Rope, Om Nom",,,2021,ALL,48 min,"Animation, Kids","No one loves holidays more than Om Nom, Om Nelle, and Nibble Nom! Get in the holidays mood with this festive compilation: Christmas, Easter, Halloween and more at once!",amazon,
